973, 754, 1740
913, 699, 1674
837, 706, 1639
756, 573, 1528
756, 573, 1528
665, 399, 1366
538, 285, 1237
408, 84, 1061
282, -46, 864
154, -217, 763
49, -251, 671
49, -251, 671
-4, -271, 501
-23, -254, 381
-18, -123, 311
20, 57, 242
50, 77, 72
50, 77, 72
61, 66, -68
48, 81, -204
48, 81, -204
51, 73, -283
65, 42, -321
59, 25, -420
73, 56, -459
73, 56, -459
123, 34, -351
160, -49, -215
199, -80, -95
244, -73, 45
244, -73, 45
274, -108, 217
321, -76, 388
397, -51, 687
471, 36, 1188
498, 256, 1577
554, 446, 1878
554, 446, 1878
602, 640, 1998
642, 838, 1998
675, 1003, 1998
661, 957, 1998
641, 882, 1998
658, 867, 1998
708, 894, 1998
763, 917, 1998
763, 917, 1998
799, 932, 1998
828, 925, 1998
813, 869, 1998
766, 757, 1848
674, 554, 1603
538, 298, 1298
390, 121, 1030
265, -67, 824
265, -67, 824
125, -185, 524
40, -266, 245
21, -295, 181
-,-,-
45, 487, 536
136, 401, 502
110, 344, 318
122, 247, 166
122, 247, 166
109, 127, 57
114, 20, 36
164, -136, 170
208, -194, 241
236, -205, 179
236, -205, 179
299, -227, 261
378, -156, 526
411, -90, 796
437, 52, 1016
418, 153, 1135
374, 202, 1574
344, 347, 1883
344, 347, 1883
336, 468, 1899
335, 464, 1856
330, 362, 1982
396, 334, 1998
474, 387, 1998
573, 448, 1998
678, 530, 1998
753, 617, 1998
753, 617, 1998
783, 638, 1998
784, 655, 1998
729, 648, 1998
667, 566, 1998
616, 413, 1934
520, 260, 1704
432, 63, 1422
432, 63, 1422
336, -101, 1053
254, -232, 640
139, -309, 333
63, -298, 157
-14, -301, 70
-74, -333, 18
-74, -333, 18
-82, -246, -4
-80, -216, 34
-73, -209, 37
-61, -140, -22
-35, -89, -60
-4, -46, -57
-4, -46, -57
12, 6, -106
20, 36, -163
54, 10, -172
54, 10, -172
95, -31, -113
104, -83, -75
132, -164, 71
181, -189, 168
230, -245, 343
230, -245, 343
285, -326, 764
349, -116, 1068
414, 3, 1452
483, 198, 1943
505, 412, 1998
517, 535, 1997
520, 521, 1998
520, 521, 1998
569, 583, 1998
622, 624, 1998
677, 609, 1998
741, 712, 1998
839, 807, 1998
877, 811, 1998
864, 764, 1998
834, 636, 1998
834, 636, 1998
747, 470, 1926
609, 295, 1648
482, 116, 1390
345, -92, 1211
178, -247, 956
32, -366, 579
-50, -430, 404
-78, -433, 469
-,-,-
125, 618, 520
209, 501, 329
166, 371, 177
200, 254, 48
200, 254, 48
183, 118, 3
157, 2, -106
176, -159, -199
198, -281, -74
198, -281, -74
268, -279, 157
315, -270, 253
374, -245, 447
458, -211, 690
507, -170, 1025
522, 5, 1306
550, 99, 1594
550, 99, 1594
622, 150, 1897
679, 265, 1998
744, 373, 1998
837, 541, 1998
935, 716, 1998
980, 810, 1998
1018, 753, 1998
1068, 681, 1998
1095, 594, 1998
1095, 594, 1998
1037, 534, 1998
959, 457, 1994
854, 319, 1791
705, 144, 1583
582, 5, 1312
443, -106, 991
313, -219, 781
189, -266, 524
189, -266, 524
81, -279, 268
26, -210, 189
-4, -148, 215
-42, -101, 180
-70, -112, 122
-83, -105, 77
-83, -105, 77
-89, -52, -4
