-,-,-
-807, -497, 577
-759, -549, 610
-786, -531, 649
-858, -541, 619
-878, -570, 610
-847, -606, 652
-870, -629, 616
-1015, -591, 605
-1106, -583, 567
-1057, -614, 490
-973, -629, 477
-889, -646, 512
-832, -671, 485
-850, -640, 417
-850, -640, 417
-919, -585, 322
-918, -537, 390
-879, -516, 442
-789, -538, 386
-717, -533, 346
-791, -423, 390
-874, -372, 378
-830, -366, 338
-748, -341, 294
-685, -329, 300
-686, -320, 275
-773, -240, 248
-776, -181, 173
-714, -207, 150
-679, -238, 167
-627, -220, 239
-607, -208, 241
-607, -208, 241
-669, -219, 122
-718, -219, 48
-658, -224, 70
-561, -253, 74
-477, -288, 63
-419, -289, 67
-388, -262, 23
-417, -242, -31
-361, -273, -59
-256, -319, -50
-256, -282, 10
-256, -282, 10
-275, -228, -22
-276, -162, -82
-177, -222, -132
-18, -293, -79
-70, -198, 64
-274, -57, 149
-324, -55, 173
-318, -75, 176
-310, -38, 199
-310, -38, 199
-450, 82, 337
-650, 151, 487
-719, 156, 547
-770, 239, 659
-903, 299, 732
-1018, 301, 893
-1158, 332, 931
-1235, 388, 884
-1470, 482, 1042
-1601, 467, 1064
-1475, 410, 960
-1475, 410, 960
-1342, 369, 941
-1223, 371, 1022
-1211, 427, 1119
-1196, 443, 1034
-1142, 438, 980
-1164, 447, 976
-1192, 446, 883
-1170, 451, 796
-1150, 455, 776
-1178, 487, 843
-1217, 510, 921
-1220, 500, 930
-1200, 487, 911
-1148, 466, 953
-1202, 496, 976
-1257, 524, 957
-1264, 499, 943
-1281, 502, 938
-1307, 511, 970
-1253, 505, 970
-1253, 505, 970
-1255, 529, 980
-1264, 534, 919
-1195, 496, 829
-1148, 490, 799
-1135, 506, 736
-1039, 479, 626
-911, 445, 602
-821, 430, 612
-811, 445, 606
-737, 376, 465
-670, 309, 370
-686, 304, 326
-686, 304, 326
-668, 286, 286
-569, 235, 228
-569, 174, 169
-580, 167, 153
-566, 168, 91
-552, 131, 21
-547, 136, 75
-547, 136, 75
-512, 79, 21
-474, 28, -110
-546, 51, -155
-474, 1, -212
-412, -53, -266
-451, -33, -249
-451, -33, -249
-444, -40, -222
-421, -117, -237
-374, -164, -261
-383, -105, -195
-486, -4, -133
-538, 2, -134
-483, -60, -171
-408, -112, -87
-391, -95, -74
-435, -76, -152
-435, -99, -123
-413, -103, -53
-452, -63, -30
-570, -1, 34
-570, -1, 34
-614, -31, 82
-526, -78, 68
-546, -31, 158
-607, -36, 174
-524, -70, 159
-524, -70, 159
-460, -45, 264
-565, 13, 599
-752, 23, 561
-828, 62, 472
-769, 25, 541
-642, -82, 685
-642, -82, 685
-617, -53, 981
-752, 9, 1007
-1005, -71, 909
-1032, -168, 1117
-927, -191, 1383
-977, -160, 1482
-970, -249, 1550
-1042, -280, 1674
-1155, -246, 1571
-1034, -235, 1448
-921, -156, 1590
-959, -118, 1515
-876, -107, 1361
-845, -94, 1220
-753, -120, 1126
-763, -109, 1113
-764, -65, 1176
-770, -43, 1148
-,-,-
-4, 442, 374
42, 392, 335
92, 428, 458
102, 303, 530
113, 368, 419
113, 368, 419
166, 482, 354
175, 445, 364
213, 349, 511
269, 376, 690
203, 295, 543
203, 295, 543
186, 167, 496
259, 227, 684
284, 286, 685
269, 174, 743
307, 240, 1077
307, 240, 1077
330, 336, 1205
349, 409, 1268
377, 566, 1504
368, 637, 1635
355, 630, 1619
380, 628, 1741
436, 714, 1989
526, 879, 1998
526, 879, 1998
574, 1030, 1998
593, 1130, 1998
594, 1187, 1998
590, 1104, 1998
554, 980, 1995
504, 827, 1882
462, 683, 1733
414, 539, 1655
345, 423, 1419
268, 358, 1184
268, 358, 1184
226, 306, 1093
193, 262, 958
167, 252, 768
126, 174, 671
87, 103, 543
87, 103, 543
59, 76, 413
43, 40, 386
29, 65, 373
29, 65, 373
20, 103, 345
-16, 84, 262
-22, 72, 225
-22, 72, 225
-35, 112, 177
-26, 145, 193
-16, 212, 144
-2, 216, 98
-2, 216, 98
0, 220, 32
-13, 256, 18
10, 289, 82
10, 289, 82
31, 323, 120
23, 279, 109
18, 189, 109
18, 189, 109
31, 119, 127
45, 49, 197
66, 6, 351
66, 6, 351
66, 30, 432
83, 50, 461
83, 50, 461
125, 62, 535
173, 111, 672
249, 215, 910
307, 375, 1028
307, 375, 1028
311, 435, 1139
313, 451, 1292
325, 541, 1474
372, 659, 1743
398, 745, 1831
398, 804, 1888
378, 749, 1998
428, 795, 1998
428, 795, 1998
491, 833, 1998
584, 923, 1998
692, 1064, 1998
772, 1167, 1998
828, 1253, 1998
871, 1287, 1998
859, 1246, 1998
798, 1058, 1993
695, 802, 1891
572, 518, 1622
475, 231, 1332
475, 231, 1332
361, -5, 980
229, -194, 545
100, -264, 86
27, -289, 4
-58, -324, -50
-58, -324, -50
-96, -285, -11
-149, -233, 26
-198, -248, 59
-187, -70, 90
-190, 226, 5
-,-,-
115, 546, 441
128, 575, 373
154, 538, 449
182, 458, 611
171, 427, 567
171, 427, 567
151, 380, 321
148, 274, 229
179, 204, 242
215, 175, 335
249, 132, 349
249, 132, 349
260, 129, 275
292, 86, 487
318, 64, 657
361, 45, 652
361, 45, 652
353, 97, 657
361, 103, 900
427, 141, 1107
475, 267, 1236
491, 284, 1320
491, 284, 1320
514, 316, 1389
597, 315, 1629
660, 316, 1884
714, 413, 1925
787, 504, 1995
889, 725, 1998
949, 883, 1998
958, 970, 1998
958, 970, 1998
948, 921, 1998
924, 802, 1998
888, 691, 1998
839, 605, 1958
793, 458, 1762
679, 306, 1559
588, 173, 1396
479, 53, 1112
479, 53, 1112
357, -77, 876
247, -215, 669
137, -286, 440
79, -235, 324
45, -74, 241
45, -74, 241
0, -56, 202
-32, -83, 250
-44, -75, 206
-52, -18, 109
-52, -18, 109
-56, 27, 84
-54, 36, 91
-49, 12, 111
-49, 12, 111
-41, 10, 73
-20, 60, 21
-9, 97, 5
-9, 97, 5
6, 76, 15
6, 76, 15
19, 6, -19
60, -78, 17
60, -78, 17
109, -94, 122
160, -46, 195
230, -50, 287
299, 2, 466
299, 2, 466
374, 29, 724
440, 104, 952
492, 202, 1139
553, 352, 1433
577, 491, 1706
577, 491, 1706
587, 537, 1845
588, 589, 1808
577, 623, 1868
618, 655, 1997
674, 724, 1998
710, 817, 1998
756, 880, 1998
799, 862, 1998
799, 862, 1998
821, 859, 1998
813, 826, 1978
796, 737, 1957
755, 650, 1906
687, 576, 1725
605, 486, 1607
513, 343, 1475
